,train,test
R2,0.9855524622810989,0.9858333491785138
MAE,4.879964453436392,4.935439853452013
MDAE,3.3119087370746456,3.3540133796804525
MRE,2.431869298501779,2.452962770765769
MDRE,1.6389182362010863,1.6855308548253594
RMSE,7.384734871247627,7.326229468052336
CE135A,"[0.34724066820888533, 0.7393956370344971, 0.8943419250043868, 0.9995444176675794]","[0.34061678036656545, 0.7343543251570283, 0.8875996819193015, 1.000923979356949]"
