,train,test
R2,0.990007380510634,0.990178524402461
MAE,3.7883704065966763,3.8367825573871466
MDAE,2.491267030478525,2.536705791646
MRE,1.8974280056122794,1.91659112246135
MDRE,1.2136356872836045,1.2373915801134165
RMSE,6.141545368023481,6.1000766684209555
CE135A,"[0.4417799938832926, 0.8182297095844963, 0.9407239811759129, 1.0028517947412328]","[0.4358700908569763, 0.8140938802045803, 0.9389942001415537, 1.004326675185509]"
