,train,test
R2,0.9927487489313304,0.9901437385223499
MAE,3.214984695654341,3.8456199239911095
MDAE,2.000229002500305,2.5103438044250623
MRE,1.6247280781317928,1.921628834991771
MDRE,0.949681784046834,1.2289394191834067
RMSE,5.251004463272267,6.111265082082843
CE135A,"[0.5187850588001303, 0.8511181176985183, 0.9517530687717068, 1.002942185616809]","[0.4391623502494518, 0.814134545107884, 0.9352060758206489, 1.0025739616765705]"
