,train,test
R2,0.9817894948945258,0.9781769545057005
MAE,5.290674869714433,5.509008909392093
MDAE,3.533107307747059,3.652106196492298
MRE,2.6324179922444135,2.6651651624601778
MDRE,1.7350804954319563,1.8057475788056199
RMSE,8.104551711568162,8.924995344429643
CE135A,"[0.33685341493902565, 0.7204252526139323, 0.8733314102483706, 0.9943603443158208]","[0.33453487107862406, 0.7071230837424416, 0.868954327626726, 0.9964957472254514]"
