,train,test
R2,0.9889833796227908,0.9841189259334905
MAE,4.0762722150502775,4.198242212501123
MDAE,2.714085375305814,2.7473533605798366
MRE,2.0089849587097857,2.0155051632440233
MDRE,1.281656875038414,1.2922184390321354
RMSE,6.298509772336085,7.63783513331531
CE135A,"[0.4209830765218819, 0.8044600102440601, 0.9322510231073164, 1.001237391026993]","[0.4250871947148183, 0.8157526946380953, 0.9372654244443799, 0.9978144297403443]"
