,train,test
R2,0.9910597466765889,0.9888211898587723
MAE,3.4712496459900186,3.9993975002363675
MDAE,2.1891930687588683,2.5776850151726762
MRE,1.7398662549018242,1.9750085666298831
MDRE,1.055330746830759,1.2811180488274854
RMSE,5.830567514330935,6.508378533646436
CE135A,"[0.49012142383486107, 0.8369106882799189, 0.9456591058357685, 1.002769872167068]","[0.42823761306013447, 0.8091052154699645, 0.9315042362777981, 1.000492775278577]"
